id,process_date,avg_price,min_price,max_price
1,20210102,17298000000000000000000,10000000000000000000000,25000000000000000000000
2,20210103,11874500000000000000000,12000000000000000000000,8999000000000000000000
3,20210104,10099800000000000000000,13000000000000000000000,8500000000000000000000
4,20210105,11399500000000000000000,13800000000000000000000,8999000000000000000000
5,20210106,17500000000000000000000,15000000000000000000000,20000000000000000000000
6,20210107,18779600000000000000000,15000000000000000000000,9999000000000000000000
7,20210108,15166000000000000000000,27500000000000000000000,8999000000000000000000
8,20210109,10225667000000000000000,12680000000000000000000,8999000000000000000000
9,20210110,9999667000000000000000,10000000000000000000000,7999000000000000000000
10,20210111,11349500000000000000000,13700000000000000000000,8999000000000000000000
11,20210112,11734750000000000000000,11940000000000000000000,7999000000000000000000
12,20210113,15433333000000000000000,16500000000000000000000,8000000000000000000000
13,20210114,11944000000000000000000,15000000000000000000000,8888000000000000000000
14,20210115,8886000000000000000000,8886000000000000000000,8886000000000000000000
15,20210116,12689400000000000000000,12500000000000000000000,9999000000000000000000
16,20210117,10312286000000000000000,10000000000000000000000,8888000000000000000000
17,20210118,17999833000000000000000,12000000000000000000000,9999000000000000000000
18,20210119,10075000000000000000000,10000000000000000000000,9000000000000000000000
19,20210120,13712692000000000000000,10000000000000000000000,9000000000000000000000
20,20210121,8200000000000000000000,8000000000000000000000,8500000000000000000000
21,20210122,9914000000000000000000,13400000000000000000000,8998000000000000000000
22,20210123,10190667000000000000000,12000000000000000000000,9200000000000000000000
23,20210124,12224500000000000000000,15900000000000000000000,8998000000000000000000
24,20210125,13999667000000000000000,10000000000000000000000,18000000000000000000000
25,20210126,11840000000000000000000,10000000000000000000000,7000000000000000000000
26,20210127,12037250000000000000000,16600000000000000000000,8999000000000000000000
27,20210128,9419800000000000000000,12000000000000000000000,8999000000000000000000
28,20210129,14123750000000000000000,11995000000000000000000,20000000000000000000000
29,20210130,12498750000000000000000,10000000000000000000000,8999000000000000000000
30,20210131,13300000000000000000000,10000000000000000000000,16200000000000000000000
31,20210201,9619400000000000000000,13000000000000000000000,8999000000000000000000
32,20210202,11328286000000000000000,11500000000000000000000,9300000000000000000000
33,20210203,10117000000000000000000,13200000000000000000000,9495000000000000000000
34,20210204,12061667000000000000000,11500000000000000000000,8995000000000000000000
35,20210205,12213308000000000000000,10000000000000000000000,8999000000000000000000
36,20210206,12350000000000000000000,11500000000000000000000,13000000000000000000000
37,20210207,9666333000000000000000,13000000000000000000000,9999000000000000000000
38,20210208,10064833000000000000000,10000000000000000000000,9500000000000000000000
39,20210209,8499500000000000000000,8000000000000000000000,8999000000000000000000
40,20210210,9804133000000000000000,10000000000000000000000,9999000000000000000000
41,20210211,16955400000000000000000,10000000000000000000000,8777000000000000000000
